codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A701,31/03/2019,23,21.1,21.3,21.1,74,74,73,16.2,16.2,16,927.7,927.7,927.1,1.2,127,4.5,-3.41,0
A701,31/03/2019,22,21.1,21.8,21.1,73,73,71,16.2,16.3,16,927.1,927.1,926.3,1.2,132,5.8,-3.54,0
A701,31/03/2019,21,21.8,23.9,21.8,71,71,61,16.2,16.3,15.9,926.3,926.3,925.8,1.9,134,6.6,99.9,0
A701,31/03/2019,20,23.9,26.6,23.9,61,61,50,15.9,16,14.9,925.8,925.8,925.1,2.6,150,7,731.2,0
A701,31/03/2019,19,26.4,28.7,26,50,50,34,15.1,15.1,11.2,925.1,925.1,924.9,2.2,170,6.3,1587,0
A701,31/03/2019,18,28.1,28.5,26.4,36,37,32,11.4,11.4,9.5,924.9,925.5,924.9,1.5,247,4.6,2328,0
A701,31/03/2019,17,28.2,28.2,25.4,34,44,33,11,13.8,9.9,925.5,926.7,925.5,1.5,178,4.7,3765,0
A701,31/03/2019,16,26.3,27.2,25.3,41,51,40,12.1,14.9,12.1,926.7,927.1,926.7,1.7,213,4.4,3592,0
A701,31/03/2019,15,25.8,26.4,24.3,49,56,47,14.3,15.6,13.5,927.1,927.9,927.1,0.5,286,3.9,////,0
A701,31/03/2019,14,24.3,24.8,22.6,56,61,54,15,15.5,14,927.9,928.5,927.9,1.1,32,5.4,3753,0
A701,31/03/2019,13,22.6,22.9,20.6,61,70,60,14.7,15.2,14,928.4,929.4,928.4,2.8,77,8.2,3067,0
A701,31/03/2019,12,20.6,21.1,18.7,70,77,68,14.9,15.8,14.5,929.3,929.3,928.9,2.5,73,7.4,1186,0
A701,31/03/2019,11,18.8,19.1,18.4,77,81,77,14.7,15.3,14.5,928.9,929,927.9,2.8,77,5.7,565.2,0
A701,31/03/2019,10,18.5,18.5,17.8,81,83,81,15.1,15.1,14.7,927.9,928,927.8,1.4,58,5,130.3,0
A701,31/03/2019,9,17.8,17.8,17.5,83,84,83,14.9,14.9,14.7,927.9,927.9,926.9,0.7,104,3.9,-2.26,0
A701,31/03/2019,8,17.7,17.8,17.6,83,83,82,14.7,14.9,14.6,926.9,927.1,926.8,0.7,65,4.1,-3.54,0
A701,31/03/2019,7,17.8,18,17.8,82,82,82,14.7,14.8,14.7,926.9,927.4,926.9,1.7,88,3.8,-3.54,0
A701,31/03/2019,6,17.8,18.4,17.8,82,82,80,14.6,15,14.5,927.4,927.9,927.4,0.7,61,4.7,-3.54,0
A701,31/03/2019,5,18.4,18.7,18.4,80,80,80,15,15.1,15,927.9,928.6,927.9,1.5,101,4.8,-3.54,0
A701,31/03/2019,4,18.7,19.3,18.7,80,80,77,15.1,15.2,15.1,928.6,929,928.5,2.4,113,5.3,-3.54,0
A701,31/03/2019,3,19.3,19.7,19.3,77,78,76,15.2,15.5,15.2,929,929.1,929,1.4,121,5,-3.54,0
A701,31/03/2019,2,19.7,19.8,19.6,76,77,76,15.4,15.6,15.2,929.1,929.5,929.1,1.2,115,4.9,-2.18,0
A701,31/03/2019,1,19.6,19.6,19.3,76,76,74,15.2,15.2,14.5,929.5,929.7,929.4,1,145,5.7,-3.4,0
A701,31/03/2019,0,19.3,20.2,19.3,74,74,71,14.5,14.8,14.5,929.7,929.8,929.6,2.8,153,6.4,-3.2,0
